week,metric,treatment,effect,relative_effect,control_mean,se,ci_low,ci_high,p_value
1,advertiser_value,rich_product__top__one,0.006800902910506307,0.3919139487813905,0.0173530514329814,0.0005786076120524868,0.005666831990883433,0.00793497383012918,6.742366713595439e-32
1,user_utility,rich_product__top__one,-0.000159154129435235,-0.00021782809618221298,0.7306409605770172,0.0004919012391340855,-0.0011232805581380424,0.0008049722992675725,0.7462795424815681
1,abandonment,rich_product__top__one,-0.00029492992528191986,-0.0034489462793263486,0.08551305279812182,0.0007103351594726871,-0.0016871868378483866,0.001097326987284547,0.6779967693385127
2,advertiser_value,rich_product__top__one,0.006620223373594292,0.37500135286734765,0.01765386530735029,0.0008200190243936617,0.005012986085782716,0.00822746066140587,6.844797801952659e-16
2,user_utility,rich_product__top__one,6.83565379011597e-06,9.355240503548782e-06,0.7306764361133161,0.00031296038579729145,-0.0006065667023725753,0.0006202380099528072,0.9825740597220266
2,abandonment,rich_product__top__one,-0.00041907821512618404,-0.004930927678795462,0.0849897306197274,0.000693662657677381,-0.0017786570241738507,0.0009405005939214827,0.5457420791999024
3,advertiser_value,rich_product__top__one,0.007684742038007907,0.4463268666472797,0.017217744689523598,0.0006362629254059968,0.006437666704212154,0.00893181737180366,1.3814619105382984e-33
3,user_utility,rich_product__top__one,0.00022152224866800463,0.0003031936951864163,0.7306294694940916,0.00040437142024778557,-0.0005710457350176551,0.0010140902323536643,0.5838163581657143
3,abandonment,rich_product__top__one,-0.00022328329775785083,-0.002615928066035439,0.08535528964152561,0.000785615783785757,-0.0017630902339779346,0.001316523638462233,0.776246101056973
4,advertiser_value,rich_product__top__one,0.00796435032016482,0.4611670839510508,0.017269988681608013,0.0005051392968737058,0.006974277298292357,0.008954423342037283,5.278270913730225e-56
4,user_utility,rich_product__top__one,0.0003209845892029328,0.00043962945447475777,0.7301253042438329,0.0003173388790193139,-0.00030099961367492244,0.0009429687920807881,0.3117827390564877
4,abandonment,rich_product__top__one,-0.00015832534375537222,-0.0018591200086671852,0.08516144359549799,0.0007374673129819148,-0.0016037612771999251,0.0012871105896891807,0.8300106200058284
5,advertiser_value,rich_product__top__one,0.006568058907347532,0.3721356714986768,0.01764963536254515,0.0008190036554714995,0.0049628117426233935,0.008173306072071672,1.0611412437489819e-15
5,user_utility,rich_product__top__one,0.00012151623440115333,0.00016635924670456057,0.7304447261471164,0.00041792754681588116,-0.0006976217573579737,0.0009406542261602804,0.7712355734000955
5,abandonment,rich_product__top__one,-0.0007925910662147373,-0.009219674921506164,0.08596735491897976,0.0009089597415568693,-0.002574152159666201,0.0009889700272367264,0.3832214786289011
6,advertiser_value,rich_product__top__one,0.007113190048200508,0.4091187467344713,0.017386614778660225,0.0009685513991315301,0.005214829305902709,0.009011550790498308,2.0706553706855303e-13
6,user_utility,rich_product__top__one,5.2800004980424475e-05,7.226145403135535e-05,0.7306800795554673,0.00034130354108565376,-0.0006161549355474569,0.0007217549455083059,0.8770570280384462
6,abandonment,rich_product__top__one,-0.00028443449362632045,-0.003342631293525108,0.08509299071581373,0.0006690154284411941,-0.0015957047333710608,0.00102683574611842,0.6707245149812627
